SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for urban development,Urban development ,clearing for urban development,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,reassessment of conservation status,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"clearing roads, road maintenance",Roads & rail,"clearing roads, road maintenance",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, developers",,,,,,,,
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,,,,,,,,,,
SWA02,Southwest,"Eucalyptus rudis, Corymbia calophylla, Agonis flexuosa Closed Low Forest (near Busselton)","Flooded gum, Marri and Peppermint Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify):,"trampling, bikes",Recreational disturbance (specify):,"trampling, bikes",,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),"Eucalyptus patens on loamy brown sands over limestone. Species present include Eucalyptus patens, Corymbia calophylla and Agonis flexuosa over understorey species including Bossiaea linophylla, Hibbertia hypericoides, Gastrolobium praemorsum, Leucopogon propinquus, Phyllanthus calycinus, Lomandra micrantha, Lepidosperma longitudinale, Mesomelaena tetragona, Cyathochaeta avenacea and Tetraria octandra. The community is likely to have similarities to community type 1b �Southern Corymbia calophylla woodlands on heavy soils�.",3,Less than or equal to 5 (potentially meets location criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: PEC defined in lasts ten years + survey. Mapping has been done but not consolidated to obtain number of occurences,133,"< 1,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),South West workshop: polygon of mapped occurrences from AW records (not in corp data),12,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Decreased (pressures > recovery actions),South West workshop: clearing,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,South West workshop: clearing,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,South West workshop: clearing,Vascular plants,,,None,Priority 1,2010,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ",,,2009,2013,Swan Bioplan,Cropping/Horticulture (specify):,"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historic clearing, fragmentation of habitat",none,,,"Current PEC, likely increase to threatened category",IN vi) Occurrences and boundaries of ecological communities,update mapping,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for urban development,Urban development ,clearing for urban development,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,reassessment of conservation status,EV vi) Input of existing data into DPaW�s corporate databases (specify source of data),,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"clearing roads, road maintenance",Roads & rail,"clearing roads, road maintenance",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, developers",,,,,,,,
Western Australia,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,,,,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),"Eucalyptus patens on loamy brown sands over limestone. Species present include Eucalyptus patens, Corymbia calophylla and Agonis flexuosa over understorey species including Bossiaea linophylla, Hibbertia hypericoides, Gastrolobium praemorsum, Leucopogon propinquus, Phyllanthus calycinus, Lomandra micrantha, Lepidosperma longitudinale, Mesomelaena tetragona, Cyathochaeta avenacea and Tetraria octandra. The community is likely to have similarities to community type 1b �Southern Corymbia calophylla woodlands on heavy soils�.",3,Less than or equal to 5 (potentially meets location criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: PEC defined in lasts ten years + survey. Mapping has been done but not consolidated to obtain number of occurences,133,"< 1,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),South West workshop: polygon of mapped occurrences from AW records (not in corp data),12,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Decreased (pressures > recovery actions),South West workshop: clearing,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,South West workshop: clearing,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,South West workshop: clearing,Vascular plants,,,None,Priority 1,2010,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ",,,2009,2013,Swan Bioplan,Cropping/Horticulture (specify):,"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historic clearing, fragmentation of habitat",none,,,,IN vi) Occurrences and boundaries of ecological communities,update mapping,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for urban development,Urban development ,clearing for urban development,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,reassessment of conservation status,EV vi) Input of existing data into DPaW�s corporate databases (specify source of data),,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"clearing roads, road maintenance",Roads & rail,"clearing roads, road maintenance",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, developers",,,,,,,,
SWA02,Southwest,"Eucalyptus patens, Corymbia calophylla, Agonis flexuosa Closed Low Forest",Vasse Blackbutt (near Busselton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,"Virtually confined to the grey/white sands on the midslopes of the Whicher Scarp. Located on Whicher Scarp mid slopes. The taxa that identify the group include: Ricinocarpus aff. cyanescens, Hibbertia ferruginea, Platysace filiformis, Conospermum capitatum subsp. glabratum, Thysanotus arbuscular, Schoenus brevisetis, Phlebocarya filifolia, Leucopogon glabellus, Pimelea rosea subsp. rosea, Adenanthos obovatus, Stylidium carnosum and Gompholobium capitatum. 
Note: This community should be cross-referenced with �Eucalyptus haematoxylon - Eucalyptus marginata woodlands on Whicher foothills (�community type 1a�)�
          
rarely associated with laterites. Mean native taxa 63.6. Mean weed taxa 1.3.",4,Less than or equal to 5 (potentially meets location criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop,11156,"< 100,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),South West workshop: 1 occurrence still to be mapped so AOO is larger than this. S&C JAF02 10435ha + SWA02 721,172,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop: 1 occurrence still to be mapped. S&C JAF02  166+ SWA02 6ha,Unknown,Unknown,Unknown,Unknown,-,South West workshop,< 5% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Minor or negligible severity,Worsening condition (pressures > recovery actions),Expert opinion,"South West workshop: foothill remnant, has edge effects",Vascular plants,,,None,Priority 1,2008,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - reserves IUCN I-IV, DEC managed land - State forest/Timber reserve, Other crown reserves, Freehold land",2008,2012,"Notes from workshop: 1 occurrence originally in SWA02 is foothills, edges of scarp, added to JAF01",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",none,,,,HD iii) Develop hydrological model to forecast effect on biodiversity from climate change,investigate presence of wetland taxa in dryland conditions (groundwater linkages),EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD xii) Manage access,close existing tracks to minimise vehicle impacts ,MI xii) Planning processes,DPaW input to planning processes,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,"timber harvesting operations, roads",Forestry/Silviculture,"timber harvesting operations, roads",,,,,MA iii) Mitigating threatening processes � species,Pc dieback impacts (evidence of difference from other areas) & implications for disease management,,,,,MD ii) Weed control or eradication,weed management,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),recognised as informal reserve (poorly reservered forest ecosystem) FMP,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,,,,,SC ii) Phylogeography & genetic variation/structuring ,genetic work on disjunct populations and geological isolation over time ,,,,,MD xiv) Other,rubbish collection,"MI vii) Biosecurity measures � border (inspections, regulatory control) (specify)",Pc dieback hygiene,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,IN vi) Occurrences and boundaries of ecological communities,"re/define boundaries of existing occurrences, survey for additional communities",,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,grazing by rabbits,Invasive/introduced herbivores (specify):,grazing by rabbits,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,"define community assemblage, with respect to extensions into Blackwood Plateau",,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),Liaison with LGA re: reserve tenure & management,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,"Virtually confined to the grey/white sands on the midslopes of the Whicher Scarp. Located on Whicher Scarp mid slopes. The taxa that identify the group include: Ricinocarpus aff. cyanescens, Hibbertia ferruginea, Platysace filiformis, Conospermum capitatum subsp. glabratum, Thysanotus arbuscular, Schoenus brevisetis, Phlebocarya filifolia, Leucopogon glabellus, Pimelea rosea subsp. rosea, Adenanthos obovatus, Stylidium carnosum and Gompholobium capitatum. 
Note: This community should be cross-referenced with �Eucalyptus haematoxylon - Eucalyptus marginata woodlands on Whicher foothills (�community type 1a�)�
          
rarely associated with laterites. Mean native taxa 63.6. Mean weed taxa 1.3.",4,Less than or equal to 5 (potentially meets location criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop,11156,"< 100,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),South West workshop: 1 occurrence still to be mapped so AOO is larger than this. S&C JAF02 10435ha + SWA02 721,172,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop: 1 occurrence still to be mapped. S&C JAF02  166+ SWA02 6ha,Unknown,Unknown,Unknown,Unknown,-,South West workshop,< 5% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Minor or negligible severity,Worsening condition (pressures > recovery actions),Expert opinion,"South West workshop: foothill remnant, has edge effects",Vascular plants,,,None,Priority 1,2008,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - reserves IUCN I-IV, DEC managed land - State forest/Timber reserve, Other crown reserves, Freehold land",2008,2012,"Notes from workshop: 1 occurrence originally in SWA02 is foothills, edges of scarp, added to JAF01",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",none,,,,HD iii) Develop hydrological model to forecast effect on biodiversity from climate change,investigate presence of wetland taxa in dryland conditions (groundwater linkages),EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD xii) Manage access,close existing tracks to minimise vehicle impacts ,MI xii) Planning processes,DPaW input to planning processes,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,"timber harvesting operations, roads",Forestry/Silviculture,"timber harvesting operations, roads",,,,,MA iii) Mitigating threatening processes � species,Pc dieback impacts (evidence of difference from other areas) & implications for disease management,,,,,MD ii) Weed control or eradication,weed management,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),recognised as informal reserve (poorly reservered forest ecosystem) FMP,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,,,,,SC ii) Phylogeography & genetic variation/structuring ,genetic work on disjunct populations and geological isolation over time ,,,,,MD xiv) Other,rubbish collection,"MI vii) Biosecurity measures � border (inspections, regulatory control) (specify)",Pc dieback hygiene,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,IN vi) Occurrences and boundaries of ecological communities,"re/define boundaries of existing occurrences, survey for additional communities",,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,grazing by rabbits,Invasive/introduced herbivores (specify):,grazing by rabbits,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,"define community assemblage, with respect to extensions into Blackwood Plateau",,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),Liaison with LGA re: reserve tenure & management,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,,,,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Mountain Marri woodland,Whicher Scarp A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,"This community type occurs in grey sand in the West Whicher Scarp. It is similar to the open Banksia attenuata woodlands with Peppermint (Agonis flexuosa) from the grey sands of the West Whicher Scarp. The type is species poor. Taxa include: Allocasuarina fraseriana, Banksia attenuata, Xylomellum occidentale, Bossiaea praetermissa, Calytrix flavescens, Gompholobium tomentosum, Hibbertia hypericoides, Hovea stricta, Hypocalymma robustum, Kunzea rostrata, Petrophile linearis and a suite of grasses, herbs and sedges. Swan Coastal Plain woodlands of grey/white sands. Formed from one grey sand quadrat from the West Whicher Scarp.  It is comparatively species poor. A significant number of the quadrats in group B1 as well as the B2 quadrat are in or adjacent to areas infected by dieback.",13,Less than or equal to 20 (does not meet IUCN location criteria),Quantitative analysis of data published or publically available following peer review,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: recognised 2008; AW does not support Argyle Block point records,32855,"< 100,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),"South West workshop: AW advised the community is restricted to West Whicher scarp only. Does not occur at Argyle Block, however disagreeement about mapping so it remains part of current dataset. S&C JAF02 25863 + SWA02 6992",206,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop,Unknown,Static,Unknown,Static,Expert opinion,South West workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,"South West workshop: Pc dieback, changes assemblage",Vascular plants,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - State forest/Timber reserve, Freehold land, Other crown reserves, Other public lands - roads and water bodies",2008,2013,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,none,,,"Current PEC, likely increase to threatened category",QTP ii) Quantifying threatening processes � biological communities/assemblages,determine the reason why this community is more Pc susceptible than other Banksia woodlands,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where posible,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",Notes from workshop: Pc treatment and hygiene is very expensive and dieback is throughout this community,,,,,
Western Australia,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,reassess conservation significance (highly threatened),,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,,Roads & rail,,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,resolve Argyle occurrences (requires field survey plots),,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,sand mining,Mining ,sand mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for semi-rural development,Urban development ,clearing for semi-rural development,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
